CRYPTURE FINANCIAL MODEL - ASSUMPTIONS,,,
,,,
USER GROWTH ASSUMPTIONS,,,
,Conservative,Moderate,Aggressive
Month 1 Users,500,1000,2000
Monthly Growth Rate (Y1),10%,15%,20%
Monthly Growth Rate (Y2),8%,12%,15%
Monthly Growth Rate (Y3),5%,8%,10%
,,,
CONVERSION ASSUMPTIONS,,,
,Conservative,Moderate,Aggressive
Free → Premium (Y1),3%,5%,7%
Free → Premium (Y2),4%,6%,9%
Free → Premium (Y3),5%,7%,10%
Free → Pro (All Years),0.5%,1%,1.5%
,,,
,,,
CHURN ASSUMPTIONS,,,
,Conservative,Moderate,Aggressive
Premium Monthly Churn,6%,5%,4%
Pro Monthly Churn,4%,3%,2%
,,,
,,,
PRICING ASSUMPTIONS,,,
,Monthly,Annual,Discount
Premium,$9.99,$99,17%
Pro,$19.99,$199,17%
Annual Adoption Rate,30%,35%,40%
,,,
,,,
COST ASSUMPTIONS (Monthly),,,
,Year 1,Year 2,Year 3
Infrastructure,$500,"$2,000","$5,000"
API Costs (per 1K users),$50,$40,$30
Payment Processing,2.9% + $0.30,2.9% + $0.30,2.9% + $0.30
Support (per 1K users),$200,$150,$100